SEN001 ; 2025-06-01T08:15:00 ; 45 ; 22.4;
SEN002 ; 2025-06-01T08:20:00 ; 50 ; ;
SEN003 ; 2025-06-01T08:25:00 ; ; 21.7;
SEN004 ; 2025-06-01T08:30:00 ; 60 ; 23.1;
SEN005 ; 2025-06-01T08:35:00 ; ; 24.5 ;
SEN006 ; 2025-06-01T08:40:00 ; 48 ; 22.0;
SEN007 ; 2025-06-01T08:45:00 ; 51 ; ;
SEN008 ; 2025-06-01T08:50:00 ; ; 21.3 ;
SEN009 ; 2025-06-01T08:55:00 ; 46 ; 20.8;
SEN010 ; 2025-06-01T09:00:00 ; ; 21.5;
SEN011 ; 2025-06-01T09:05:00 ; 44 ; ;
SEN012 ; 2025-06-01T09:10:00 ; ; ;
SEN013 ; 2025-06-01T09:15:00 ; 53 ; 23.4;
SEN014 ; 2025-06-01T09:20:00 ; ; 22.1;
SEN015 ; 2025-06-01T09:25:00 ; 47 ; ;
SEN016 ; 2025-06-01T09:30:00 ; 48; ;
SEN017 ; 2025-06-01T09:35:00 ; 52 ; 21.9;
SEN018 ; 2025-06-01T09:40:00 ; ; 22.7;
SEN019 ; 2025-06-01T09:45:00 ; 49 ; ;
SEN020 ; 2025-06-01T09:50:00 ; ; 20 ;
